Country_Name,region,Homicide_per_100k,Homicide_F_percentage,Homicide_M_percentage,Electoral_Democracy,Liberal_Democracy,Participatory_Democracy,Deliberative_Democracy,Egalitarian_Democracy,Primary_Enrolled_per_K,Secondary_Low_Enrolled_per_K,Secondary_Up_Enrolled_per_K,Happiness_Score,Gdp_per_Capita,Social_Support,Healthy_Life_Exp,Freedom_of_Choices,Generosity,Corruption,Infant_mortality_per_K,Increase_Rase_Percent,Life_Exp_Birth_F_Y,Life_Exp_Birth_Y,Child_per_W,Life_Exp_Birth_M_Y,Population,Area_km2,Density_per_km2,Growth_Rate,World_Population_Percentage,Seats_percentage
Afghanistan,Asia,4,NULL,NULL,0.158,0.043,0.048,0.041,0.082,6.199,1.669,982,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,40.8,2.7,66.2,62.9,4.5,59.8,41128771,652230,63.0587,1.0257,0.52,27
Albania,Europe,2.3,0.8,3.8,0.489,0.41,0.302,0.312,0.368,188,175,140,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,8.2,-0.4,79.5,76.8,1.4,74.5,2842321,28748,98.8702,0.9957,0.04,35.7
Algeria,Africa,1.6,0.7,2.4,0.281,0.138,0.111,0.187,0.267,3.925,NULL,NULL,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,16.6,1.6,78.5,77.1,2.8,75.9,44903225,2381741,18.8531,1.0164,0.56,8.1
Andorra,Europe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.4,0.3,85.8,83.6,1.1,81.4,79824,468,170.5641,1.01,0,46.4
Angola,Africa,NULL,NULL,NULL,0.342,0.168,0.093,0.163,0.142,5.621,NULL,NULL,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,48.2,3,64.5,61.9,5.2,59.4,35588987,1246700,28.5466,1.0315,0.45,29.6
Antigua and Barbuda,Americas,17.2,10.3,24.7,NULL,NULL,NULL,NULL,NULL,10,5,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,0.6,81.6,79.2,1.6,76.5,93763,442,212.1335,1.0058,0,11.1
Argentina,Americas,4.6,1.3,8,0.811,0.657,0.551,0.666,0.621,4.784,2.723,1.779,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,8.8,0.5,79.3,76.1,1.9,72.9,45510318,2780400,16.3683,1.0052,0.57,44.8
Armenia,Asia,2.2,0.9,3.7,0.726,0.541,0.457,0.581,0.604,145,NULL,97,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,8.1,-0.2,78.4,73.4,1.6,67.9,2780469,29743,93.4831,0.9962,0.03,34.6
Australia,Oceania,0.7,0.4,1.1,0.849,0.804,0.609,0.775,0.717,2.141,1.408,1.301,7.284,1.33358,1.30923,0.93156,0.65124,0.43562,0.35637,2.8,1,85.5,83.6,1.6,81.7,26177413,7692024,3.4032,1.0099,0.33,31.1
Austria,Europe,0.7,0.9,0.6,0.827,0.751,0.588,0.697,0.743,328,334,358,7.2,1.33723,1.29704,0.89042,0.62433,0.33088,0.18676,2.5,0.2,84.6,82.4,1.5,80.2,8939617,83871,106.5877,1.002,0.11,41.5
Azerbaijan,Asia,1.9,1.3,2.5,0.196,0.066,0.062,0.051,0.113,551,574,NULL,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,16.4,0.6,76.2,73.5,1.7,70.6,10358074,86600,119.6082,1.0044,0.13,18.3
Bahamas,Americas,29.2,2.8,57.9,NULL,NULL,NULL,NULL,NULL,33,13,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.1,0.7,77.8,74.4,1.4,70.8,409984,13943,29.4043,1.0051,0.01,18
Bahrain,Asia,0.1,0.2,0,0.121,0.054,0.036,0.068,0.113,108,47,45,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,5.4,0.9,80.5,79.2,1.8,78.2,1472233,765,1924.4876,1.0061,0.02,15
Bangladesh,Asia,NULL,NULL,NULL,0.263,0.103,0.124,0.113,0.099,NULL,8.247,6.32,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,20.4,1,76,73.7,2,71.5,171186372,147570,1160.035,1.0108,2.15,20.9
Barbados,Americas,11.4,4.1,19.3,0.794,0.678,0.349,0.681,0.663,21,12,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.4,0.1,79.6,77.7,1.6,75.7,281635,430,654.9651,1.0015,0,20
Belarus,Europe,NULL,NULL,NULL,0.176,0.038,0.061,0.041,0.221,387,445,200,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,1.9,-0.3,78.4,73.2,1.5,68.1,9534954,207600,45.9295,0.9955,0.12,40
Belgium,Europe,1.1,0.2,2,0.893,0.82,0.636,0.823,0.826,783,445,773,6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,2.9,0.3,84.4,82.3,1.6,80.2,11655930,30528,381.8111,1.0038,0.15,42
Belize,Americas,31.2,5.5,56.7,NULL,NULL,NULL,NULL,NULL,52,29,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.1,1.3,74.7,71,2,67.7,405272,22966,17.6466,1.0131,0.01,12.5
Benin,Africa,NULL,NULL,NULL,0.418,0.289,0.252,0.298,0.333,2.238,707,257,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,54.4,2.7,61.7,60,4.9,58.3,13352864,112622,118.5635,1.0274,0.17,7.4
Bhutan,Asia,NULL,NULL,NULL,0.571,0.476,0.359,0.505,0.481,99,54,21,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,20.7,0.6,74.2,72.2,1.4,70.6,782455,38394,20.3796,1.0064,0.01,17.4
Bolivia,Americas,3.5,2.9,3.8,0.604,0.357,0.426,0.416,0.397,1.345,453,781,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,24.9,1.2,67.9,64.9,2.6,62.3,12224110,1098581,11.1272,1.012,0.15,46.2
Bosnia and Herzegovina,Europe,1,0.4,1.6,0.519,0.357,0.316,0.351,0.369,163,134,144,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,4.9,-0.8,77.5,75.3,1.3,73.1,3233526,51209,63.1437,0.9886,0.04,26.2
