Country_Name;region;Homicide_per_100k;Homicide_F_percentage;Homicide_M_percentage;Electoral_Democracy;Liberal_Democracy;Participatory_Democracy;Deliberative_Democracy;Egalitarian_Democracy;Primary_Enrolled_per_K;Secondary_Low_Enrolled_per_K;Secondary_Up_Enrolled_per_K;Happiness_Score;Gdp_per_Capita;Social_Support;Healthy_Life_Exp;Freedom_of_Choices;Generosity;Corruption;Infant_mortality_per_K;Increase_Rase_Percent;Life_Exp_Birth_F_Y;Life_Exp_Birth_Y;Child_per_W;Life_Exp_Birth_M_Y;Population;Area_km2;Density_per_km2;Growth_Rate;World_Population_Percentage;Seats_percentage;Country Name;adolescent_fertility_rate;age_dependency_ratio_pct;stillbirths_number;death_injury_pct;death_noncommunicable_pct;education_spending_gdp_pct;unemployment_female_pct;safe_sanitation_pct;tobacco_use_pct;unemployment_male_pct;rural_population;basic_sanitation_pct;death_rate_crude;tuberculosis_incidence_per_100k;pop_80_plus_female;pop_80_plus_male;pop_80_plus_male_pct;pop_80_plus_female_pct;urban_population;pop_male_pct_total;health_spending_gdp_pct;rural_pop_pct_total;rural_pop_growth_pct;birth_rate_crude;death_communicable_pct;labor_force_total;alcohol_consumption_liters;urban_pop_growth_pct;net_migration;pop_female_pct_total;nb_terrorist_events
Afghanistan;Asia;4.0;;;0.158;0.043;0.048;0.041;0.082;6.199;1.669;982.0;3.575;0.31982;0.30285;0.30335;0.23414;0.3651;0.09719;40.8;2.7;66.2;62.9;4.5;59.8;41128771.0;652230.0;63.0587;1.0257;0.52;27.0;Afghanistan;86.8;87.65;37849.0;17.29;49.78;0.0;13.88;0.0;23.8;10.24;28042342.0;51.0;6.79;189.0;59648.0;40867.0;0.21;0.32;9727157.0;50.54;0.5;74.25;2.56;36.47;32.93;9991682.0;0.02;3.92;-8082.0;49.46;1617
Albania;Europe;2.3;0.8;3.8;0.489;0.41;0.302;0.312;0.368;188.0;175.0;140.0;4.959;0.87867;0.80434;0.81325;0.35733;0.14272;0.06413;8.2;-0.4;79.5;76.8;1.4;74.5;2842321.0;28748.0;98.8702;0.9957;0.04;35.7;Albania;15.01;47.28;128.0;3.04;93.94;3.92;11.32;50.48;23.0;11.58;1106598.0;99.18;8.48;16.0;50274.0;44301.0;3.1;3.53;1747593.0;50.06;2.87;38.77;-2.75;10.34;3.02;1433004.0;5.11;1.07;-8889.0;49.94;2
Algeria;Africa;1.6;0.7;2.4;0.281;0.138;0.111;0.187;0.267;3.925;;;5.605;0.93929;1.07772;0.61766;0.28579;0.07822;0.17383;16.6;1.6;78.5;77.1;2.8;75.9;44903225.0;2381741.0;18.8531;1.0164;0.56;8.1;Algeria;12.3;57.05;10028.0;7.66;79.36;6.04;18.68;62.41;21.0;8.53;11449736.0;86.14;4.39;61.0;237013.0;192727.0;0.89;1.13;31255632.0;50.95;4.07;26.81;-0.23;23.3;12.98;12396383.0;0.61;2.61;-36386.0;49.05;9
Andorra;Europe;;;;;;;;;4.0;3.0;1.0;;;;;;;;5.4;0.3;85.8;83.6;1.1;81.4;79824.0;468.0;170.5641;1.01;0.0;46.4;Andorra;5.98;37.96;1.0;0.0;0.0;3.15;0.0;100.0;32.0;0.0;9173.0;100.0;3.9;7.5;1564.0;1064.0;2.74;4.17;67170.0;50.88;5.31;12.02;2.41;7.0;0.0;0.0;11.05;1.67;1238.0;49.12;2
Angola;Africa;;;;0.342;0.168;0.093;0.163;0.142;5.621;;;4.033;0.75778;0.8604;0.16683;0.10384;0.12344;0.07122;48.2;3.0;64.5;61.9;5.2;59.4;35588987.0;1246700.0;28.5466;1.0315;0.45;29.6;Angola;141.28;92.31;25529.0;9.09;31.75;2.07;9.16;0.0;0.0;9.8;10942954.0;51.39;7.81;351.0;64478.0;40534.0;0.25;0.39;21410634.0;49.4;1.09;33.82;1.45;39.72;59.16;13629799.0;6.17;4.4;58986.0;50.6;
Antigua and Barbuda;Americas;17.2;10.3;24.7;;;;;;10.0;5.0;3.0;;;;;;;;5.0;0.6;81.6;79.2;1.6;76.5;93763.0;442.0;212.1335;1.0058;0.0;11.1;Antigua and Barbuda;30.83;40.48;6.0;5.37;84.79;3.46;0.0;0.0;0.0;0.0;69543.0;97.4;5.86;0.0;1112.0;591.0;1.34;2.31;22574.0;47.72;2.56;75.49;0.66;11.48;9.83;0.0;8.51;0.16;0.0;52.28;
Argentina;Americas;4.6;1.3;8.0;0.811;0.657;0.551;0.666;0.621;4.784;2.723;1.779;6.574;1.05351;1.24823;0.78723;0.44974;0.11451;0.08484;8.8;0.5;79.3;76.1;1.9;72.9;45510318.0;2780400.0;16.3683;1.0052;0.57;44.8;Argentina;46.15;55.14;3252.0;5.71;76.69;4.78;10.71;0.0;24.9;9.2;3599141.0;0.0;7.6;29.0;868995.0;398051.0;1.79;3.83;41339571.0;49.51;6.06;8.01;-0.51;14.78;17.6;20607477.0;8.04;1.13;4478.0;50.49;2
Armenia;Asia;2.2;0.9;3.7;0.726;0.541;0.457;0.581;0.604;145.0;;97.0;4.35;0.76821;0.77711;0.7299;0.19847;0.07855;0.039;8.1;-0.2;78.4;73.4;1.6;67.9;2780469.0;29743.0;93.4831;0.9962;0.03;34.6;Armenia;19.04;47.77;441.0;4.68;88.63;2.57;10.43;10.86;25.8;14.11;1037446.0;93.86;9.66;26.0;66317.0;21300.0;1.67;4.29;1783156.0;45.19;1.41;36.78;-0.75;12.89;6.69;1411206.0;4.98;-0.45;-25363.0;54.81;2
Australia;Oceania;0.7;0.4;1.1;0.849;0.804;0.609;0.775;0.717;2.141;1.408;1.301;7.284;1.33358;1.30923;0.93156;0.65124;0.43562;0.35637;2.8;1.0;85.5;83.6;1.6;81.7;26177413.0;7692024.0;3.4032;1.0099;0.33;31.1;Australia;8.94;52.93;769.0;5.94;89.11;5.13;5.1;95.51;14.0;5.21;3515460.0;100.0;6.7;6.8;594552.0;426809.0;3.4;4.66;21819366.0;49.61;7.55;13.88;0.67;12.1;4.94;13587463.0;10.09;1.61;235860.0;50.39;9
Austria;Europe;0.7;0.9;0.6;0.827;0.751;0.588;0.697;0.743;328.0;334.0;358.0;7.2;1.33723;1.29704;0.89042;0.62433;0.33088;0.18676;2.5;0.2;84.6;82.4;1.5;80.2;8939617.0;83871.0;106.5877;1.002;0.11;41.5;Austria;5.5;50.05;196.0;5.45;90.98;5.22;4.35;99.67;27.1;4.61;3683835.0;99.97;9.4;6.0;288812.0;169370.0;3.88;6.4;5196085.0;49.19;7.85;41.48;-0.08;9.6;3.57;4662739.0;11.97;0.82;41105.0;50.81;3
Azerbaijan;Asia;1.9;1.3;2.5;0.196;0.066;0.062;0.051;0.113;551.0;574.0;;5.212;1.02389;0.93793;0.64045;0.3703;0.07799;0.16065;16.4;0.6;76.2;73.5;1.7;70.6;10358074.0;86600.0;119.6082;1.0044;0.13;18.3;Azerbaijan;49.4;44.21;1356.0;3.76;90.25;3.18;5.69;69.04;24.2;4.02;4407577.0;96.13;5.6;60.0;80050.0;41134.0;0.83;1.58;5616706.0;49.36;1.28;43.97;0.05;14.1;5.99;4964822.0;1.97;1.48;392.0;50.64;2
Bahamas;Americas;29.2;2.8;57.9;;;;;;33.0;13.0;13.0;;;;;;;;10.1;0.7;77.8;74.4;1.4;70.8;409984.0;13943.0;29.4043;1.0051;0.01;18.0;Bahamas;26.02;40.29;55.0;13.86;75.43;2.7;10.02;0.0;10.7;10.07;68241.0;94.93;7.94;14.0;3983.0;2269.0;1.17;1.89;336316.0;47.89;3.08;16.87;0.02;11.49;10.71;235408.0;4.39;0.79;1001.0;52.11;
Bahrain;Asia;0.1;0.2;0.0;0.121;0.054;0.036;0.068;0.113;108.0;47.0;45.0;5.96;1.32376;1.21624;0.74716;0.45492;0.17362;0.306;5.4;0.9;80.5;79.2;1.8;78.2;1472233.0;765.0;1924.4876;1.0061;0.02;15.0;Bahrain;9.68;29.9;118.0;8.89;86.1;2.38;3.77;91.29;15.2;0.48;158474.0;100.0;2.0;14.0;3527.0;3106.0;0.33;0.63;1335714.0;62.47;2.31;10.61;-0.54;13.2;5.01;864850.0;1.58;0.58;-17127.0;37.53;3
Bangladesh;Asia;;;;0.263;0.103;0.124;0.113;0.099;;8.247;6.32;4.694;0.39753;0.43106;0.60164;0.4082;0.21222;0.12569;20.4;1.0;76.0;73.7;2.0;71.5;171186372.0;147570.0;1160.035;1.0108;2.15;20.9;Bangladesh;77.68;49.26;70304.0;7.13;70.26;1.68;6.63;27.72;35.2;3.32;103604879.0;54.91;5.28;221.0;735015.0;612986.0;0.75;0.88;61911343.0;49.64;0.52;62.6;-0.11;18.35;22.61;70248864.0;0.01;3.2;-344054.0;50.36;88
Barbados;Americas;11.4;4.1;19.3;0.794;0.678;0.349;0.681;0.663;21.0;12.0;8.0;;;;;;;;10.4;0.1;79.6;77.7;1.6;75.7;281635.0;430.0;654.9651;1.0015;0.0;20.0;Barbados;42.16;47.56;24.0;4.31;82.79;4.11;7.28;0.0;8.5;9.54;192882.0;98.09;8.91;0.0;5099.0;3071.0;2.29;3.49;87298.0;47.91;2.78;68.84;0.16;10.88;12.9;143823.0;9.47;0.21;-65.0;52.09;
Belarus;Europe;;;;0.176;0.038;0.061;0.041;0.221;387.0;445.0;200.0;5.813;1.03192;1.23289;0.73608;0.37938;0.11046;0.1909;1.9;-0.3;78.4;73.2;1.5;68.1;9534954.0;207600.0;45.9295;0.9955;0.12;40.0;Belarus;11.83;49.32;219.0;5.71;92.68;4.98;3.2;75.23;30.9;5.12;1974004.0;99.34;12.8;29.0;300468.0;92184.0;2.12;5.93;7445754.0;46.18;4.13;20.96;-2.32;9.3;1.61;4971033.0;10.9;0.37;15082.0;53.82;
Belgium;Europe;1.1;0.2;2.0;0.893;0.82;0.636;0.823;0.826;783.0;445.0;773.0;6.937;1.30782;1.28566;0.89667;0.5845;0.2225;0.2254;2.9;0.3;84.4;82.3;1.6;80.2;11655930.0;30528.0;381.8111;1.0038;0.15;42.0;Belgium;5.3;55.97;343.0;6.12;85.98;6.33;4.94;93.19;23.9;5.73;225069.0;99.49;9.5;8.9;410401.0;242033.0;4.27;7.05;11263911.0;49.33;8.1;1.96;-1.48;10.2;7.9;5194405.0;10.28;0.58;54395.0;50.67;6
Belize;Americas;31.2;5.5;56.7;;;;;;52.0;29.0;9.0;;;;;;;;10.1;1.3;74.7;71.0;2.0;67.7;405272.0;22966.0;17.6466;1.0131;0.01;12.5;Belize;64.4;51.59;51.0;18.85;65.22;5.91;13.96;0.0;8.8;6.03;210633.0;88.2;4.73;27.0;1767.0;1573.0;0.8;0.91;178462.0;50.36;4.09;54.13;1.56;18.89;15.94;177832.0;5.71;2.13;1164.0;49.64;
Benin;Africa;;;;0.418;0.289;0.252;0.298;0.333;2.238;707.0;257.0;3.34;0.28665;0.35386;0.3191;0.4845;0.1826;0.0801;54.4;2.7;61.7;60.0;4.9;58.3;13352864.0;112622.0;118.5635;1.0274;0.17;7.4;Benin;93.9;84.94;9656.0;9.19;38.98;3.0;1.74;2.59;7.2;1.24;6408115.0;18.63;9.25;55.0;29766.0;19618.0;0.32;0.48;5882329.0;50.06;0.54;52.14;1.84;37.67;51.83;4403417.0;8.35;4.04;3363.0;49.94;
Bhutan;Asia;;;;0.571;0.476;0.359;0.505;0.481;99.0;54.0;21.0;5.253;0.77042;1.10395;0.57407;0.53206;0.47998;0.15445;20.7;0.6;74.2;72.2;1.4;70.6;782455.0;38394.0;20.3796;1.0064;0.01;17.4;Bhutan;19.66;43.38;93.0;9.05;72.74;4.76;3.34;49.51;0.0;2.3;448104.0;75.4;6.63;164.0;4483.0;4103.0;1.01;1.24;319355.0;53.05;2.65;58.39;-0.52;12.87;18.21;367463.0;0.2;2.44;291.0;46.95;
