Country_Name;region;Homicide_per_100k;Homicide_F_percentage;Homicide_M_percentage;Electoral_Democracy;Liberal_Democracy;Participatory_Democracy;Deliberative_Democracy;Egalitarian_Democracy;Primary_Enrolled_per_K;Secondary_Low_Enrolled_per_K;Secondary_Up_Enrolled_per_K;Happiness_Score;Gdp_per_Capita;Social_Support;Healthy_Life_Exp;Freedom_of_Choices;Generosity;Corruption;Infant_mortality_per_K;Increase_Rase_Percent;Life_Exp_Birth_F_Y;Life_Exp_Birth_Y;Child_per_W;Life_Exp_Birth_M_Y;Population;Area_km2;Density_per_km2;Growth_Rate;World_Population_Percentage;Seats_percentage;Country Name;adolescent_fertility_rate;age_dependency_ratio_pct;stillbirths_number;death_injury_pct;death_noncommunicable_pct;education_spending_gdp_pct;unemployment_female_pct;safe_sanitation_pct;tobacco_use_pct;unemployment_male_pct;rural_population;basic_sanitation_pct;death_rate_crude;tuberculosis_incidence_per_100k;pop_80_plus_female;pop_80_plus_male;pop_80_plus_male_pct;pop_80_plus_female_pct;urban_population;pop_male_pct_total;health_spending_gdp_pct;rural_pop_pct_total;rural_pop_growth_pct;birth_rate_crude;death_communicable_pct;labor_force_total;alcohol_consumption_liters;urban_pop_growth_pct;net_migration;pop_female_pct_total
Afghanistan;Asia;4;;;0,158;4,2999999999999997E-2;4,8000000000000001E-2;4,1000000000000002E-2;8,2000000000000003E-2;6,1989999999999998;1,669;982;3,5750000000000002;0,31981999999999999;0,30285000000000001;0,30335000000000001;0,23413999999999999;0,36509999999999998;9,7189999999999999E-2;40,799999999999997;2,7000000000000002;66,200000000000003;62,899999999999999;4,5;59,799999999999997;41128771;652230;63,058700000000002;1,0257000000000001;0,52000000000000002;27;Afghanistan;86,799999999999997;87,650000000000006;37849;17,289999999999999;49,780000000000001;0;13,880000000000001;0;23,800000000000001;10,24;28042342;51;6,79;189;59648;40867;0,20999999999999999;0,32000000000000001;9727157;50,539999999999999;0,5;74,25;2,5600000000000001;36,469999999999999;32,93;9991682;0,02;3,9199999999999999;-8082;49,460000000000001
Albania;Europe;2,2999999999999998;0,80000000000000004;3,7999999999999998;0,48899999999999999;0,40999999999999998;0,30199999999999999;0,312;0,36799999999999999;188;175;140;4,9589999999999996;0,87866999999999995;0,80434000000000005;0,81325000000000003;0,35732999999999998;0,14272000000000001;6,4130000000000006E-2;8,1999999999999993;-0,40000000000000002;79,5;76,799999999999997;1,3999999999999999;74,5;2842321;28748;98,870199999999997;0,99570000000000003;4,0000000000000001E-2;35,700000000000003;Albania;15,01;47,280000000000001;128;3,04;93,939999999999998;3,9199999999999999;11,32;50,479999999999997;23;11,58;1106598;99,180000000000007;8,4800000000000004;16;50274;44301;3,1000000000000001;3,5299999999999998;1747593;50,060000000000002;2,8700000000000001;38,770000000000003;-2,75;10,34;3,02;1433004;5,1100000000000003;1,0700000000000001;-8889;49,939999999999998
Algeria;Africa;1,6000000000000001;0,69999999999999996;2,3999999999999999;0,28100000000000003;0,13800000000000001;0,111;0,187;0,26700000000000002;3,9249999999999998;;;5,6050000000000004;0,93928999999999996;1,07772;0,61765999999999999;0,28578999999999999;7,8219999999999998E-2;0,17383000000000001;16,600000000000001;1,6000000000000001;78,5;77,099999999999994;2,7999999999999998;75,900000000000006;44903225;2381741;18,853100000000001;1,0164;0,56000000000000005;8,0999999999999996;Algeria;12,300000000000001;57,049999999999997;10028;7,6600000000000001;79,359999999999999;6,04;18,68;62,409999999999997;21;8,5299999999999994;11449736;86,140000000000001;4,3899999999999997;61;237013;192727;0,89000000000000001;1,1299999999999999;31255632;50,950000000000003;4,0700000000000003;26,809999999999999;-0,23000000000000001;23,300000000000001;12,98;12396383;0,60999999999999999;2,6099999999999999;-36386;49,049999999999997
Andorra;Europe;;;;;;;;;4;3;1;;;;;;;;5,4000000000000004;0,29999999999999999;85,799999999999997;83,599999999999994;1,1000000000000001;81,400000000000006;79824;468;170,5641;1,01;0;46,399999999999999;Andorra;5,9800000000000004;37,960000000000001;1;0;0;3,1499999999999999;0;100;32;0;9173;100;3,8999999999999999;7,5;1564;1064;2,7400000000000002;4,1699999999999999;67170;50,880000000000003;5,3099999999999996;12,02;2,4100000000000001;7;0;0;11,050000000000001;1,6699999999999999;1238;49,119999999999997
Angola;Africa;;;;0,34200000000000003;0,16800000000000001;9,2999999999999999E-2;0,16300000000000001;0,14199999999999999;5,6210000000000004;;;4,0330000000000004;0,75778000000000001;0,86040000000000005;0,16683000000000001;0,10384;0,12343999999999999;7,1220000000000006E-2;48,200000000000003;3;64,5;61,899999999999999;5,2000000000000002;59,399999999999999;35588987;1246700;28,546600000000002;1,0315000000000001;0,45000000000000001;29,600000000000001;Angola;141,28;92,310000000000002;25529;9,0899999999999999;31,75;2,0699999999999998;9,1600000000000001;0;0;9,8000000000000007;10942954;51,390000000000001;7,8099999999999996;351;64478;40534;0,25;0,39000000000000001;21410634;49,399999999999999;1,0900000000000001;33,82;1,45;39,719999999999999;59,159999999999997;13629799;6,1699999999999999;4,4000000000000004;58986;50,600000000000001
Antigua and Barbuda;Americas;17,199999999999999;10,300000000000001;24,699999999999999;;;;;;10;5;3;;;;;;;;5;0,59999999999999998;81,599999999999994;79,200000000000003;1,6000000000000001;76,5;93763;442;212,1335;1,0058;0;11,1;Antigua and Barbuda;30,829999999999998;40,479999999999997;6;5,3700000000000001;84,790000000000006;3,46;0;0;0;0;69543;97,400000000000006;5,8600000000000003;0;1112;591;1,3400000000000001;2,3100000000000001;22574;47,719999999999999;2,5600000000000001;75,489999999999995;0,66000000000000003;11,48;9,8300000000000001;0;8,5099999999999998;0,16;0;52,280000000000001
Argentina;Americas;4,5999999999999996;1,3;8;0,81100000000000005;0,65700000000000003;0,55100000000000005;0,66600000000000004;0,621;4,7839999999999998;2,7229999999999999;1,7789999999999999;6,5739999999999998;1,0535099999999999;1,24823;0,78722999999999999;0,44973999999999997;0,11451;8,4839999999999999E-2;8,8000000000000007;0,5;79,299999999999997;76,099999999999994;1,8999999999999999;72,900000000000006;45510318;2780400;16,368300000000001;1,0052000000000001;0,56999999999999995;44,799999999999997;Argentina;46,149999999999999;55,140000000000001;3252;5,71;76,689999999999998;4,7800000000000002;10,710000000000001;0;24,899999999999999;9,1999999999999993;3599141;0;7,5999999999999996;29;868995;398051;1,79;3,8300000000000001;41339571;49,509999999999998;6,0599999999999996;8,0099999999999998;-0,51000000000000001;14,779999999999999;17,600000000000001;20607477;8,0399999999999991;1,1299999999999999;4478;50,490000000000002
Armenia;Asia;2,2000000000000002;0,90000000000000002;3,7000000000000002;0,72599999999999998;0,54100000000000004;0,45700000000000002;0,58099999999999996;0,60399999999999998;145;;97;4,3499999999999996;0,76820999999999995;0,77710999999999997;0,72989999999999999;0,19847000000000001;7,8549999999999995E-2;0,039;8,0999999999999996;-0,20000000000000001;78,400000000000006;73,400000000000006;1,6000000000000001;67,900000000000006;2780469;29743;93,483099999999993;0,99619999999999997;2,9999999999999999E-2;34,600000000000001;Armenia;19,039999999999999;47,770000000000003;441;4,6799999999999997;88,629999999999995;2,5699999999999998;10,43;10,859999999999999;25,800000000000001;14,109999999999999;1037446;93,859999999999999;9,6600000000000001;26;66317;21300;1,6699999999999999;4,29;1783156;45,189999999999998;1,4099999999999999;36,780000000000001;-0,75;12,890000000000001;6,6900000000000004;1411206;4,9800000000000004;-0,45000000000000001;-25363;54,810000000000002
Australia;Oceania;0,69999999999999996;0,40000000000000002;1,1000000000000001;0,84899999999999998;0,80400000000000005;0,60899999999999999;0,77500000000000002;0,71699999999999997;2,141;1,4079999999999999;1,3009999999999999;7,2839999999999998;1,33358;1,3092299999999999;0,93156000000000005;0,65124000000000004;0,43562000000000001;0,35637000000000002;2,7999999999999998;1;85,5;83,599999999999994;1,6000000000000001;81,700000000000003;26177413;7692024;3,4032;1,0099;0,33000000000000002;31,100000000000001;Australia;8,9399999999999995;52,93;769;5,9400000000000004;89,109999999999999;5,1299999999999999;5,0999999999999996;95,510000000000005;14;5,21;3515460;100;6,7000000000000002;6,7999999999999998;594552;426809;3,3999999999999999;4,6600000000000001;21819366;49,609999999999999;7,5499999999999998;13,880000000000001;0,67000000000000004;12,1;4,9400000000000004;13587463;10,09;1,6100000000000001;235860;50,390000000000001
Austria;Europe;0,69999999999999996;0,90000000000000002;0,59999999999999998;0,82699999999999996;0,751;0,58799999999999997;0,69699999999999995;0,74299999999999999;328;334;358;7,2000000000000002;1,3372299999999999;1,29704;0,89041999999999999;0,62433000000000005;0,33088000000000001;0,18676000000000001;2,5;0,20000000000000001;84,599999999999994;82,400000000000006;1,5;80,200000000000003;8939617;83871;106,5877;1,002;0,11;41,5;Austria;5,5;50,049999999999997;196;5,4500000000000002;90,980000000000004;5,2199999999999998;4,3499999999999996;99,670000000000002;27,100000000000001;4,6100000000000003;3683835;99,969999999999999;9,4000000000000004;6;288812;169370;3,8799999999999999;6,4000000000000004;5196085;49,189999999999998;7,8499999999999996;41,479999999999997;-8,0000000000000002E-2;9,5999999999999996;3,5699999999999998;4662739;11,970000000000001;0,81999999999999995;41105;50,810000000000002
Azerbaijan;Asia;1,8999999999999999;1,3;2,5;0,19600000000000001;6,6000000000000003E-2;0,062;5,0999999999999997E-2;0,113;551;574;;5,2119999999999997;1,02389;0,93793000000000004;0,64044999999999996;0,37030000000000002;7,7990000000000004E-2;0,16064999999999999;16,399999999999999;0,59999999999999998;76,200000000000003;73,5;1,7;70,599999999999994;10358074;86600;119,6082;1,0044;0,13;18,300000000000001;Azerbaijan;49,399999999999999;44,210000000000001;1356;3,7599999999999998;90,25;3,1800000000000002;5,6900000000000004;69,040000000000006;24,199999999999999;4,0199999999999996;4407577;96,129999999999995;5,5999999999999996;60;80050;41134;0,82999999999999996;1,5800000000000001;5616706;49,359999999999999;1,28;43,969999999999999;5,0000000000000003E-2;14,1;5,9900000000000002;4964822;1,97;1,48;392;50,640000000000001
Bahamas;Americas;29,199999999999999;2,7999999999999998;57,899999999999999;;;;;;33;13;13;;;;;;;;10,1;0,69999999999999996;77,799999999999997;74,400000000000006;1,3999999999999999;70,799999999999997;409984;13943;29,404299999999999;1,0051000000000001;0,01;18;Bahamas;26,02;40,289999999999999;55;13,859999999999999;75,430000000000007;2,7000000000000002;10,02;0;10,699999999999999;10,07;68241;94,930000000000007;7,9400000000000004;14;3983;2269;1,1699999999999999;1,8899999999999999;336316;47,890000000000001;3,0800000000000001;16,870000000000001;0,02;11,49;10,710000000000001;235408;4,3899999999999997;0,79000000000000004;1001;52,109999999999999
Bahrain;Asia;0,10000000000000001;0,20000000000000001;0;0,121;5,3999999999999999E-2;3,5999999999999997E-2;6,8000000000000005E-2;0,113;108;47;45;5,96;1,32376;1,21624;0,74716000000000005;0,45491999999999999;0,17362;0,30599999999999999;5,4000000000000004;0,90000000000000002;80,5;79,200000000000003;1,8;78,200000000000003;1472233;765;1924,4875999999999;1,0061;0,02;15;Bahrain;9,6799999999999997;29,899999999999999;118;8,8900000000000006;86,099999999999994;2,3799999999999999;3,77;91,290000000000006;15,199999999999999;0,47999999999999998;158474;100;2;14;3527;3106;0,33000000000000002;0,63;1335714;62,469999999999999;2,3100000000000001;10,609999999999999;-0,54000000000000004;13,199999999999999;5,0099999999999998;864850;1,5800000000000001;0,57999999999999996;-17127;37,530000000000001
